#,Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Power,Is_Augmented
1,Bulbasaur,318,45,49,49,65,65,45,1,0,Poison,0
1,Bulbasaur,326,46,52,51,66,64,47,1,0,Poison,1
1,Bulbasaur,323,43,52,51,65,66,46,1,0,Poison,1
1,Bulbasaur,330,44,50,50,73,70,43,1,0,Poison,1
1,Bulbasaur,324,49,49,49,63,66,48,1,0,Poison,1
1,Bulbasaur,308,42,47,47,64,64,44,1,0,Poison,1
1,Bulbasaur,322,47,49,50,65,68,43,1,0,Poison,1
1,Bulbasaur,322,48,53,47,63,68,43,1,0,Poison,1
1,Bulbasaur,313,42,50,51,61,63,46,1,0,Poison,1
1,Bulbasaur,325,49,47,49,64,72,44,1,0,Poison,1
1,Bulbasaur,310,43,45,50,68,59,45,1,0,Poison,1
1,Bulbasaur,309,43,50,47,60,62,47,1,0,Poison,1
1,Bulbasaur,316,43,49,54,61,67,42,1,0,Poison,1
1,Bulbasaur,317,42,47,54,65,61,48,1,0,Poison,1
1,Bulbasaur,325,44,51,48,67,66,49,1,0,Poison,1
1,Bulbasaur,318,50,45,50,63,67,43,1,0,Poison,1
1,Bulbasaur,320,48,45,45,71,64,47,1,0,Poison,1
1,Bulbasaur,317,43,47,51,66,65,45,1,0,Poison,1
1,Bulbasaur,320,43,52,48,62,66,49,1,0,Poison,1
1,Bulbasaur,325,47,46,51,67,68,46,1,0,Poison,1
1,Bulbasaur,308,43,47,44,64,66,44,1,0,Poison,1
1,Bulbasaur,322,44,49,49,64,67,49,1,0,Poison,1
1,Bulbasaur,320,47,44,49,68,66,46,1,0,Poison,1
1,Bulbasaur,325,46,49,55,65,66,44,1,0,Poison,1
1,Bulbasaur,323,45,51,46,66,69,46,1,0,Poison,1
1,Bulbasaur,329,44,48,51,68,70,48,1,0,Poison,1
1,Bulbasaur,314,43,48,49,64,66,44,1,0,Poison,1
1,Bulbasaur,309,44,46,52,59,69,39,1,0,Poison,1
1,Bulbasaur,328,43,49,52,69,70,45,1,0,Poison,1
1,Bulbasaur,309,41,45,47,66,68,42,1,0,Poison,1
1,Bulbasaur,308,42,46,50,59,68,43,1,0,Poison,1
1,Bulbasaur,323,49,47,47,68,65,47,1,0,Poison,1
1,Bulbasaur,322,44,46,50,70,68,44,1,0,Poison,1
1,Bulbasaur,304,42,46,43,67,65,41,1,0,Poison,1
1,Bulbasaur,319,47,46,51,64,65,46,1,0,Poison,1
1,Bulbasaur,320,46,47,45,66,69,47,1,0,Poison,1
1,Bulbasaur,325,44,46,50,72,68,45,1,0,Poison,1
1,Bulbasaur,322,44,48,49,64,71,46,1,0,Poison,1
1,Bulbasaur,321,46,48,51,63,68,45,1,0,Poison,1
1,Bulbasaur,307,43,47,47,64,61,45,1,0,Poison,1
1,Bulbasaur,317,42,53,43,64,66,49,1,0,Poison,1
1,Bulbasaur,327,44,49,51,67,70,46,1,0,Poison,1
1,Bulbasaur,318,49,50,47,64,66,42,1,0,Poison,1
1,Bulbasaur,320,48,45,51,64,66,46,1,0,Poison,1
1,Bulbasaur,308,51,48,41,65,56,47,1,0,Poison,1
1,Bulbasaur,314,46,48,48,64,62,46,1,0,Poison,1
1,Bulbasaur,316,45,49,50,68,64,40,1,0,Poison,1
1,Bulbasaur,322,43,52,49,64,67,47,1,0,Poison,1
1,Bulbasaur,321,44,51,52,64,65,45,1,0,Poison,1
1,Bulbasaur,323,48,48,53,63,67,44,1,0,Poison,1
1,Bulbasaur,316,43,50,47,63,69,44,1,0,Poison,1
1,Bulbasaur,317,44,53,54,60,64,42,1,0,Poison,1
1,Bulbasaur,327,47,48,53,69,65,45,1,0,Poison,1
1,Bulbasaur,325,46,48,51,69,61,50,1,0,Poison,1
1,Bulbasaur,325,44,49,51,66,68,47,1,0,Poison,1
1,Bulbasaur,315,45,50,47,67,64,42,1,0,Poison,1
1,Bulbasaur,312,42,47,48,64,63,48,1,0,Poison,1
1,Bulbasaur,316,39,49,49,64,67,48,1,0,Poison,1
1,Bulbasaur,319,42,47,49,68,62,51,1,0,Poison,1
1,Bulbasaur,325,46,55,51,68,62,43,1,0,Poison,1
1,Bulbasaur,313,45,50,47,62,64,45,1,0,Poison,1
1,Bulbasaur,327,49,48,48,71,68,43,1,0,Poison,1
1,Bulbasaur,329,48,52,48,66,71,44,1,0,Poison,1
1,Bulbasaur,318,46,50,48,63,66,45,1,0,Poison,1
1,Bulbasaur,309,42,47,48,62,63,47,1,0,Poison,1
1,Bulbasaur,321,47,51,49,67,63,44,1,0,Poison,1
1,Bulbasaur,328,47,49,53,66,66,47,1,0,Poison,1
1,Bulbasaur,326,49,52,47,69,65,44,1,0,Poison,1
1,Bulbasaur,320,46,49,46,64,67,48,1,0,Poison,1
1,Bulbasaur,316,46,49,47,64,64,46,1,0,Poison,1
1,Bulbasaur,319,47,50,49,69,63,41,1,0,Poison,1
1,Bulbasaur,314,42,48,48,67,66,43,1,0,Poison,1
1,Bulbasaur,325,44,53,48,67,65,48,1,0,Poison,1
1,Bulbasaur,318,44,51,47,66,66,44,1,0,Poison,1
1,Bulbasaur,324,49,50,51,62,70,42,1,0,Poison,1
1,Bulbasaur,322,44,53,47,64,70,44,1,0,Poison,1
1,Bulbasaur,324,45,51,52,66,64,46,1,0,Poison,1
1,Bulbasaur,323,43,47,51,71,67,44,1,0,Poison,1
1,Bulbasaur,315,43,46,49,67,66,44,1,0,Poison,1
1,Bulbasaur,316,44,47,50,65,66,44,1,0,Poison,1
1,Bulbasaur,329,49,47,49,70,69,45,1,0,Poison,1
1,Bulbasaur,311,44,44,46,61,72,44,1,0,Poison,1
1,Bulbasaur,329,44,52,50,70,67,46,1,0,Poison,1
1,Bulbasaur,323,44,48,52,66,68,45,1,0,Poison,1
1,Bulbasaur,325,49,51,49,61,70,45,1,0,Poison,1
1,Bulbasaur,314,44,49,50,63,64,44,1,0,Poison,1
1,Bulbasaur,309,43,45,47,65,66,43,1,0,Poison,1
1,Bulbasaur,316,45,51,49,68,60,43,1,0,Poison,1
1,Bulbasaur,318,51,48,46,64,63,46,1,0,Poison,1
1,Bulbasaur,326,45,51,50,66,67,47,1,0,Poison,1
1,Bulbasaur,322,46,49,49,64,69,45,1,0,Poison,1
1,Bulbasaur,320,47,49,51,67,64,42,1,0,Poison,1
1,Bulbasaur,321,48,52,47,67,64,43,1,0,Poison,1
1,Bulbasaur,325,46,50,50,65,68,46,1,0,Poison,1
1,Bulbasaur,333,47,54,48,68,69,47,1,0,Poison,1
1,Bulbasaur,310,45,49,46,64,64,42,1,0,Poison,1
1,Bulbasaur,307,44,50,45,60,62,46,1,0,Poison,1
1,Bulbasaur,325,45,52,48,72,64,44,1,0,Poison,1
1,Bulbasaur,321,46,52,50,66,66,41,1,0,Poison,1
1,Bulbasaur,315,49,48,46,63,63,46,1,0,Poison,1
2,Ivysaur,405,60,62,63,80,80,60,1,0,Poison,0
2,Ivysaur,394,55,62,65,78,75,59,1,0,Poison,1
2,Ivysaur,403,59,58,64,85,81,56,1,0,Poison,1
2,Ivysaur,381,62,58,55,76,74,56,1,0,Poison,1
2,Ivysaur,402,61,64,60,82,78,57,1,0,Poison,1
2,Ivysaur,408,59,60,65,79,84,61,1,0,Poison,1
2,Ivysaur,396,58,58,64,78,80,58,1,0,Poison,1
2,Ivysaur,393,64,60,58,79,72,60,1,0,Poison,1
2,Ivysaur,405,60,63,69,81,77,55,1,0,Poison,1
2,Ivysaur,417,56,62,70,86,80,63,1,0,Poison,1
2,Ivysaur,395,55,61,62,81,74,62,1,0,Poison,1
2,Ivysaur,406,62,60,60,86,80,58,1,0,Poison,1
2,Ivysaur,383,56,59,57,76,77,58,1,0,Poison,1
2,Ivysaur,413,58,63,60,81,88,63,1,0,Poison,1
2,Ivysaur,399,61,59,63,79,77,60,1,0,Poison,1
2,Ivysaur,399,64,64,58,71,81,61,1,0,Poison,1
2,Ivysaur,381,62,59,60,73,73,54,1,0,Poison,1
2,Ivysaur,399,54,66,57,87,79,56,1,0,Poison,1
2,Ivysaur,403,64,63,64,78,77,57,1,0,Poison,1
2,Ivysaur,406,58,59,62,85,84,58,1,0,Poison,1
2,Ivysaur,401,68,58,65,81,70,59,1,0,Poison,1
2,Ivysaur,400,58,64,59,84,81,54,1,0,Poison,1
2,Ivysaur,395,57,58,57,81,83,59,1,0,Poison,1
2,Ivysaur,423,60,63,67,82,84,67,1,0,Poison,1
